Reg_ID,Course_ID,Staff_ID,Reg_Status,Completion_Status
114,SAL003,140004,Registered,OnGoing
115,SAL004,140008,Rejected,
116,SAL003,140025,Registered,OnGoing
117,SAL004,140078,Registered,
118,SAL004,140102,Waitlist,
119,SAL003,140103,Waitlist,
120,SAL003,140108,Registered,Completed
121,SAL004,140115,Registered,Completed
122,SAL004,140525,Registered,Completed
123,SAL003,140736,Registered,OnGoing
124,SAL003,140878,Rejected,
125,tch002,150075,Registered,
126,tch003,150065,Waitlist,
127,tch005,150118,Registered,Completed
128,tch001,150143,Registered,Completed
129,tch002,150148,Registered,OnGoing
130,tch003,150155,Rejected,
131,tch001,150095,Waitlist,
132,tch002,150085,Waitlist,
133,tch003,150096,Registered,Completed
134,tch005,150162,Registered,Completed
135,tch001,150168,Rejected,
136,tch005,150938,Waitlist,
137,tch001,150115,Registered,Completed
138,tch002,150126,Registered,Completed
139,tch003,150192,Registered,Completed
140,tch005,150198,Rejected,
141,tch002,150826,Registered,
142,tch003,150968,Waitlist,
143,tch005,150166,Registered,Completed
144,tch001,150232,Registered,Completed
145,tch002,150233,Registered,OnGoing
146,tch003,150238,Rejected,
147,tch001,151008,Waitlist,
148,tch002,150215,Waitlist,
149,tch003,150216,Registered,Completed
150,tch005,150282,Registered,Completed
151,tch001,150288,Rejected,
152,tch005,151058,Waitlist,
153,tch001,150265,Registered,Completed
154,tch002,150276,Registered,Completed
155,tch003,150318,Registered,Completed
156,tch005,150343,Rejected,
157,tch002,150765,Registered,
158,tch003,150976,Waitlist,
159,tch005,150345,Registered,Completed
160,tch001,150398,Registered,Completed
161,tch002,150422,Registered,OnGoing
162,tch003,150423,Rejected,
163,tch001,151056,Waitlist,
164,tch002,151198,Waitlist,
165,tch003,150445,Registered,Completed
166,tch005,150488,Registered,Completed
167,tch001,150513,Rejected,
168,tch005,151146,Waitlist,
169,tch001,150555,Registered,Completed
170,tch002,150566,Registered,Completed
171,tch003,150608,Registered,Completed
172,tch005,150633,Rejected,
173,tch002,151055,Registered,
174,tch003,151266,Waitlist,
175,tch005,150695,Registered,Completed
176,HRD001,160008,Registered,Completed
177,MGT001,160075,Registered,Completed
178,MGT002,160065,Registered,Completed
179,MGT004,160118,Rejected,
180,MGT001,160148,Registered,
181,MGT002,160155,Waitlist,
182,MGT004,160135,Registered,Completed
183,MGT007,160146,Registered,Completed
184,HRD001,160188,Registered,Completed
185,MGT001,160212,Registered,OnGoing
186,MGT002,160213,Rejected,
187,MGT007,160258,Registered,
188,MGT001,160282,Waitlist,
189,FIN001,150166,Waitlist,
190,FIN002,150208,Registered,Completed
191,FIN001,150232,Registered,Completed
192,FIN002,150233,Registered,Completed
193,FIN001,150238,Registered,OnGoing
194,FIN002,150245,Rejected,
195,FIN001,150655,Waitlist,
196,FIN002,150866,Registered,Completed
197,FIN001,151008,Registered,Completed
198,FIN002,150215,Registered,Completed
199,FIN001,150216,Registered,OnGoing
200,MGT001,140001,Registered,Completed
201,MGT001,150008,Registered,Completed
202,MGT001,150166,Registered,Completed
203,COR002,140004,Registered,Completed
204,COR002,140015,Waitlist,
205,COR002,140736,Waitlist,
206,COR002,150008,Registered,Completed
207,COR002,150565,Registered,
208,COR002,150918,Registered,
209,COR002,150585,Registered,OnGoing
210,COR002,150938,Rejected,
211,COR002,150826,Rejected,
212,COR002,150165,Registered,OnGoing
213,COR002,150275,Waitlist,
214,COR002,150276,Registered,Completed
215,COR002,150345,Registered,
216,COR002,150398,Registered,Completed
217,COR002,150446,Registered,
218,COR002,150512,Registered,
219,COR002,150608,Registered,OnGoing
220,COR002,150633,Waitlist,
221,COR002,160065,Waitlist,
222,SAL004,160118,Registered,Completed
223,SAL004,160142,Registered,Completed
224,SAL003,160143,Registered,Completed
225,SAL003,160148,Registered,OnGoing
226,SAL004,160155,Rejected,
227,SAL003,160145,Registered,
228,SAL004,160135,Waitlist,
229,SAL004,160146,Registered,Completed
230,SAL003,160188,Registered,Completed
231,SAL003,160212,Registered,OnGoing
232,SAL004,160213,Rejected,
233,SAL004,160218,Waitlist,
234,SAL003,160225,Waitlist,
235,SAL003,160258,Registered,Completed
236,tch002,160282,Registered,Completed
237,tch003,150166,Rejected,
238,tch005,150208,Waitlist,
239,tch001,150245,Rejected,
240,tch002,150655,Registered,
241,tch003,150866,Waitlist,
242,tch005,151008,Registered,Completed
243,tch001,150215,Registered,Completed
244,tch005,150216,Registered,OnGoing
245,COR001,130001,Registered,Completed
246,COR006,140001,Waitlist,
247,FIN001,140002,Waitlist,
248,FIN002,140003,Registered,Completed
249,FIN003,140004,Registered,OnGoing
250,HRD001,140008,Registered,OnGoing
251,MGT001,140015,Registered,
252,MGT002,140025,Rejected,
253,MGT004,140036,Registered,
254,MGT007,140078,Registered,Completed
255,SAL001,140102,Waitlist,
256,SAL004,140108,Registered,Completed
257,tch001,140115,Registered,Completed
258,tch002,140525,Registered,Completed
259,tch003,140736,Registered,OnGoing
260,tch005,140878,Rejected,
261,tch008,150008,Registered,OnGoing
262,tch012,150075,Registered,
263,tch013,150065,Waitlist,
264,tch014,150076,Waitlist,
265,tch015,150118,Registered,
266,tch018,150142,Registered,
267,tch019,150143,Registered,Completed
268,COR001,150148,Registered,Completed
269,COR006,150565,Registered,Completed
270,FIN001,150776,Registered,Completed
271,FIN002,150918,Waitlist,
272,FIN003,150095,Waitlist,
273,HRD001,150085,Registered,OnGoing
274,MGT001,150096,Registered,OnGoing
275,MGT002,150138,Registered,
276,MGT004,150162,Registered,
277,MGT007,150163,Rejected,
278,SAL001,150168,Registered,
279,SAL003,150175,Registered,Completed
280,SAL004,150585,Waitlist,
281,tch001,150796,Waitlist,
282,tch002,150938,Registered,Completed
283,tch003,150125,Registered,Completed
284,tch005,150115,Registered,Completed
285,tch008,150126,Registered,OnGoing
286,tch012,150192,Rejected,
287,tch013,150193,Registered,OnGoing
288,tch014,150198,Registered,
289,tch015,150205,Waitlist,
290,tch018,150615,Waitlist,
291,tch019,150826,Registered,Completed
292,COR001,150968,Registered,Completed
293,COR006,150166,Registered,OnGoing
294,FIN001,150208,Rejected,
295,FIN002,150232,Registered,OnGoing
296,FIN003,150233,Registered,
297,HRD001,150238,Waitlist,
298,MGT001,150245,Waitlist,
299,MGT002,150655,Registered,Completed
300,MGT004,150866,Registered,Completed
301,MGT007,151008,Registered,Completed
302,SAL001,150215,Registered,OnGoing
303,SAL003,150216,Rejected,
304,SAL004,150258,Registered,
305,tch001,150282,Waitlist,
306,tch002,150283,Registered,Completed
307,tch003,150288,Registered,Completed
308,tch005,150295,Registered,OnGoing
309,tch008,150705,Rejected,
310,tch012,150916,Waitlist,
311,tch013,151058,Waitlist,
312,tch014,150275,Registered,Completed
313,tch015,150265,Registered,Completed
314,tch018,150276,Rejected,
315,tch019,150318,Waitlist,
316,COR001,150342,Registered,Completed
317,COR006,150348,Registered,Completed
318,FIN001,150355,Rejected,
319,FIN002,150765,Registered,
320,FIN003,150976,Waitlist,
321,HRD001,151118,Registered,Completed
322,MGT001,150345,Registered,Completed
323,MGT002,150356,Registered,OnGoing
324,MGT004,150398,Registered,Completed
325,MGT007,150422,Registered,Completed
326,SAL001,150423,Waitlist,
327,SAL003,150428,Waitlist,
328,SAL004,150435,Registered,Completed
329,tch001,150845,Registered,OnGoing
330,tch002,151056,Registered,OnGoing
331,tch003,151198,Registered,
332,tch005,150445,Rejected,
333,tch008,150446,Registered,
334,tch012,150488,Registered,Completed
335,tch013,150512,Waitlist,
336,tch014,150513,Waitlist,
337,tch015,150518,Registered,Completed
338,tch018,150525,Registered,Completed
339,tch019,150935,Registered,Completed
340,COR001,151146,Registered,OnGoing
341,COR006,150555,Registered,OnGoing
342,FIN001,150566,Registered,
343,FIN002,150608,Waitlist,
344,FIN003,150632,Waitlist,
345,HRD001,150633,Registered,
346,MGT001,150638,Registered,
347,MGT002,150645,Registered,Completed
348,MGT004,151055,Registered,Completed
349,MGT007,151266,Rejected,
350,SAL001,151408,Registered,Completed
351,SAL003,150695,Registered,Completed
352,SAL004,160008,Waitlist,
353,tch001,160075,Waitlist,
354,tch002,160065,Registered,OnGoing
355,tch003,160076,Registered,OnGoing
356,tch005,160118,Registered,
357,tch008,160142,Registered,
358,tch012,160143,Rejected,
359,tch013,160148,Registered,
360,tch014,160155,Registered,Completed
361,tch015,160145,Waitlist,
362,tch018,160135,Waitlist,
363,tch019,160146,Registered,Completed
364,COR001,160188,Registered,Completed
365,COR002,160212,Registered,Completed
366,COR006,160213,Registered,OnGoing
367,FIN001,160218,Rejected,
368,FIN002,160225,Registered,OnGoing
369,FIN003,160258,Registered,
370,HRD001,160282,Waitlist,
371,MGT002,150208,Registered,Completed
372,MGT004,150232,Registered,Completed
373,MGT007,150233,Registered,Completed
374,SAL001,150238,Registered,OnGoing
375,SAL003,150245,Rejected,
376,SAL004,150655,Registered,OnGoing
377,tch001,150866,Registered,
378,tch002,151008,Waitlist,
379,tch003,150215,Waitlist,
